任务号,任务来源ID,物料编码,物料名称,总数量,完成数量,实际开始时间,实际完成时间,需入库时间,是否按时完成,延期天数,优先级,未完成原因,所包含订单
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,"[120, 120, 120]",2024-03-26 00:00:00,2024-03-27,2023-12-29,No,-89,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID438,ID464,ID501,ID541,ID581"
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,"[60, 60, 60]",2024-03-14 00:00:00,2024-03-28,2023-12-29,No,-90,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID441,ID462,ID499,ID539,ID579,ID614,ID640,ID680,ID720,ID760,ID795,ID821,ID848,ID901"
107,ID520,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-23,2023-12-28,Yes,35,YG(供应链预估),无,"ID507,ID520,ID547,ID560,ID587,ID600,ID648,ID661"
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-03-29 00:00:00,2024-04-03,2024-01-07,No,-87,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID529,ID555,ID569,ID595,ID607,ID630,ID656"
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,"[1500, 1500, 1500]",2024-03-29 00:00:00,2024-04-01,2024-01-07,No,-85,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID530,ID570,ID608,ID631,ID671,ID711,ID751,ID789,ID812,ID879,ID892,ID932"
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-04-02 00:00:00,2024-04-03,2024-01-07,No,-87,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID536,ID576,ID610"
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,120,"[120, 120, 120]",2024-03-29 00:00:00,2024-04-01,2024-01-07,No,-85,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID542,ID556,ID582,ID596,ID643,ID657,ID683,ID697,ID723,ID737,ID763,ID777,ID824,ID838"
112,ID533,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,"[100, 100, 100]",2023-10-12 00:00:00,2023-10-12,2024-01-07,Yes,87,YG(供应链预估),无,"ID533,ID573,ID634,ID674,ID714"
113,ID532,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,"[100, 100, 100]",2023-10-12 00:00:00,2023-10-12,2024-01-07,Yes,87,YG(供应链预估),无,"ID532,ID572,ID633,ID673,ID713,ID753"
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-04-01 00:00:00,2024-04-06,2024-01-14,No,-83,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID585,ID599,ID619,ID646,ID660,ID686,ID700"
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,20,"[20, 20, 20]",2023-12-23 00:00:00,2023-12-23,2024-01-07,Yes,15,YG(供应链预估),无,"ID548,ID588,ID620,ID649,ID689,ID729,ID769,ID801,ID830"
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-04-05 00:00:00,2024-04-08,2024-01-14,No,-85,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID583,ID597,ID617,ID644,ID658"
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2024-04-06 00:00:00,2024-04-11,2024-01-21,No,-81,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID647,ID687,ID727,ID767,ID799,ID828,ID855,ID908"
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,"[100, 100, 100]",2023-10-12 00:00:00,2023-10-13,2024-01-14,Yes,93,YG(供应链预估),无,"ID575,ID636,ID676,ID716,ID756"
119,ID653,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2024-01-21,No,-174,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID625,ID653,ID665,ID693,ID705,ID733,ID745,ID773,ID783,ID806,ID834"
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-04-08 00:00:00,2024-04-09,2024-01-21,No,-79,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID637,ID677,ID717,ID757"
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-04-09 00:00:00,2024-04-12,2024-01-28,No,-75,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID684,ID698,ID724,ID738,ID764,ID778"
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-04-03 00:00:00,2024-04-16,2024-01-28,No,-79,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID670,ID696,ID710,ID736,ID750,ID776,ID788"
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-04-11 00:00:00,2024-04-15,2024-01-29,No,-77,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID616,ID645,ID659,ID685,ID699,ID725,ID739,ID765,ID779"
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,120,"[120, 120, 120]",2024-04-13 00:00:00,2024-04-15,2024-01-28,No,-78,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID678,ID718,ID758,ID793,ID819,ID846,ID899,ID939,ID975,ID1001"
125,ID603,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,"[0, 0, 0]",未开始,2024-07-13,2024-01-29,No,-166,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID603,ID624,ID652,ID664,ID692,ID704,ID732,ID744,ID772,ID784"
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,"[120, 120, 120]",2024-04-13 00:00:00,2024-04-15,2024-01-29,No,-77,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID611,ID642,ID682,ID722,ID762,ID792,ID823,ID850,ID903,ID943"
127,ID615,13.01.06.004,S2R继电器板,200,"[200, 200, 200]",2023-11-29 00:00:00,2023-11-30,2024-01-29,Yes,60,YG(供应链预估),无,"ID615,ID622,ID623,ID662,ID663,ID702,ID703,ID742,ID743,ID796,ID803,ID804,ID870,ID871,ID883,ID884,ID923,ID924,ID978,ID985,ID986,ID1025,ID1026,ID1065,ID1066,ID1105,ID1106"
128,ID701,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-23,2024-01-28,Yes,66,YG(供应链预估),无,"ID688,ID701,ID728,ID741,ID768,ID781,ID829,ID842"
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-04-15 00:00:00,2024-04-17,2024-02-07,No,-70,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID726,ID740,ID766,ID780,ID800"
130,ID734,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,"[0, 0, 0]",未开始,2024-07-13,2024-02-07,No,-157,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID706,ID734,ID746,ID774,ID785,ID807,ID835,ID862,ID874,ID887,ID915,ID927,ID955,ID967,ID989,ID1017,ID1029,ID1057,ID1069,ID1097,ID1109,ID1137"
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,50,"[50, 50, 50]",2024-03-19 00:00:00,2024-04-16,2024-02-07,No,-69,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID730,ID770,ID802,ID831,ID858,ID911,ID951,ID984,ID1013,ID1053,ID1093,ID1133,ID1165,ID1194,ID1234"
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,9000,"[9000, 9000, 9000]",2024-04-17 00:00:00,2024-05-04,2024-03-29,No,-36,YC(销售预测),"优先级不足,关键物料12.01.01.139有货时间:2024-04-15","ID963,ID981"
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,"[100, 100, 100]",2023-10-13 00:00:00,2023-10-13,2024-02-14,Yes,124,YG(供应链预估),无,"ID754,ID815,ID882,ID895,ID935"
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-04-16 00:00:00,2024-05-07,2024-02-21,No,-76,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID827,ID841,ID854,ID868"
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-04-23 00:00:00,2024-04-24,2024-02-21,No,-63,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID811,ID837,ID864,ID878,ID891,ID917,ID931,ID957"
136,ID833,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,"[0, 0, 0]",未开始,2024-07-13,2024-02-21,No,-143,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID805,ID833,ID860,ID872,ID885,ID913,ID925,ID953,ID966,ID987,ID1015,ID1027,ID1055,ID1067,ID1095"
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-14 00:00:00,2023-10-14,2024-02-21,Yes,130,YG(供应链预估),无,"ID809,ID836,ID863,ID876,ID889,ID916,ID929,ID956,ID969,ID991,ID1018,ID1031,ID1058,ID1071,ID1098,ID1111,ID1138,ID1150,ID1172,ID1199,ID1212,ID1239"
138,ID814,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,"[100, 100, 100]",2023-10-14 00:00:00,2023-10-16,2024-02-21,Yes,128,YG(供应链预估),无,"ID814,ID881,ID894,ID934,ID996,ID1036"
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,"[100, 100, 100]",2023-10-14 00:00:00,2023-10-14,2024-02-21,Yes,130,YG(供应链预估),无,"ID817,ID844,ID897,ID937"
140,ID873,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2024-02-28,No,-136,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID861,ID873,ID886,ID914,ID926,ID954,ID965,ID988,ID1016,ID1028,ID1056"
141,ID798,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-04-24 00:00:00,2024-05-01,2024-02-29,No,-62,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID798,ID825,ID839,ID852,ID866"
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-04-24 00:00:00,2024-04-29,2024-02-29,No,-60,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID797,ID826,ID840,ID853,ID867,ID906,ID920,ID946,ID960"
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,120,"[120, 120, 120]",2024-04-25 00:00:00,2024-04-27,2024-02-28,No,-59,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID851,ID865,ID904,ID918,ID944,ID958,ID1006,ID1020,ID1046,ID1060,ID1086,ID1100"
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-04-27 00:00:00,2024-04-29,2024-02-29,No,-60,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID791,ID818,ID845"
145,ID786,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,100,"[0, 0, 0]",未开始,2024-07-13,2024-02-29,No,-135,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID786,ID808,ID875,ID888,ID928,ID968,ID990,ID1030,ID1070,ID1110,ID1149,ID1171,ID1211"
146,ID880,13.01.04.046,TFmini-i-485(整箱包装)-V1.0,100,"[100, 100, 100]",2023-11-03 00:00:00,2023-11-03,2024-02-28,Yes,117,YG(供应链预估),无,"ID880,ID893,ID933,ID995,ID1035,ID1075,ID1115,ID1176,ID1216"
147,ID869,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-23,2024-02-28,Yes,97,YG(供应链预估),无,"ID856,ID869,ID909,ID922,ID949,ID962,ID1011,ID1024"
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,20,"[20, 20, 20]",2024-03-07 00:00:00,2024-03-14,2024-02-28,No,-15,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID857,ID910,ID950,ID983,ID1012,ID1052,ID1092,ID1132,ID1164"
149,ID921,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-04-29 00:00:00,2024-05-08,2024-03-07,No,-62,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID907,ID921,ID947,ID961,ID982"
150,ID919,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-05-02 00:00:00,2024-05-10,2024-03-07,No,-64,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-04-06","ID905,ID919,ID945,ID959,ID980,ID1007,ID1021"
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2024-05-07 00:00:00,2024-05-13,2024-03-14,No,-60,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-04-15",ID948
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-05-08 00:00:00,2024-05-09,2024-03-07,No,-63,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID898,ID938,ID973"
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,200,"[200, 200, 200]",2024-02-21 00:00:00,2024-04-29,2024-03-07,No,-53,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-02-02","ID890,ID930,ID992,ID1032,ID1072,ID1112,ID1173,ID1213"
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2024-05-10 00:00:00,2024-05-16,2024-03-21,No,-56,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-04-15","ID1010,ID1050,ID1090,ID1130,ID1162,ID1191,ID1231"
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,"[60, 60, 60]",2024-05-04 00:00:00,2024-05-06,2024-03-14,No,-53,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID941,ID977,ID1003,ID1043,ID1083,ID1123,ID1158,ID1184,ID1224"
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-05-13 00:00:00,2024-05-18,2024-03-21,No,-58,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID1009,ID1023,ID1049,ID1063,ID1089,ID1103"
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-05-13 00:00:00,2024-05-14,2024-03-21,No,-54,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID1000,ID1040,ID1080"
158,ID997,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,"[100, 100, 100]",2023-11-03 00:00:00,2023-11-03,2024-03-21,Yes,139,YG(供应链预估),无,"ID997,ID1037,ID1077,ID1117,ID1178"
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,"[100, 100, 100]",2023-11-03 00:00:00,2023-11-04,2024-03-21,Yes,138,YG(供应链预估),无,"ID999,ID1039,ID1079,ID1119"
160,ID1014,13.01.09.003,TF350-232(单品包装)-V1.0,20,"[20, 20, 20]",2024-03-20 00:00:00,2024-03-25,2024-03-21,No,-4,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID1014,ID1054,ID1094,ID1134,ID1195,ID1235"
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-05-14 00:00:00,2024-05-21,2024-03-28,No,-54,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID1047,ID1061,ID1087,ID1101,ID1127,ID1141"
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-05-18 00:00:00,2024-05-21,2024-03-29,No,-53,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID979,ID1008,ID1022,ID1048,ID1062,ID1088,ID1102,ID1128,ID1142,ID1160,ID1189,ID1203"
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-05-16 00:00:00,2024-05-22,2024-03-29,No,-54,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID970,ID993,ID1019,ID1033,ID1059,ID1073,ID1099"
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,"[1500, 1500, 1500]",2024-05-16 00:00:00,2024-05-21,2024-03-29,No,-53,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID971,ID994,ID1034,ID1074,ID1114,ID1152,ID1175,ID1215"
165,ID1041,13.01.05.006,TF03-485(单品包装)-V1.1,120,"[120, 120, 120]",2024-05-20 00:00:00,2024-05-22,2024-03-28,No,-55,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID1041,ID1081,ID1121,ID1156,ID1182,ID1222"
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,"[120, 120, 120]",2024-05-22 00:00:00,2024-05-23,2024-03-29,No,-55,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID974,ID1005,ID1045,ID1085,ID1125,ID1155,ID1186,ID1226"
167,ID1064,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-23,2024-03-28,Yes,126,YG(供应链预估),无,"ID1051,ID1064,ID1091,ID1104,ID1131,ID1144,ID1192,ID1205"
168,ID1096,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2024-04-07,No,-97,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID1068,ID1096,ID1108,ID1136,ID1146,ID1169,ID1197,ID1209,ID1237"
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,"[100, 100, 100]",2023-11-04 00:00:00,2023-11-04,2024-04-07,Yes,155,YG(供应链预估),无,"ID1076,ID1116,ID1177,ID1217"
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-05-23 00:00:00,2024-05-27,2024-04-14,No,-43,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID1129,ID1143,ID1163,ID1190,ID1204"
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-05-17 00:00:00,2024-05-24,2024-04-14,No,-40,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-04-17","ID1113,ID1139,ID1151,ID1174,ID1200"
172,ID1135,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,"[0, 0, 0]",未开始,2024-07-13,2024-04-14,No,-90,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID1107,ID1135,ID1147,ID1168,ID1196,ID1208,ID1236"
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-05-24 00:00:00,2024-05-25,2024-04-14,No,-41,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID1120,ID1154,ID1181"
174,ID1140,13.01.05.018,TF03-485(整箱包装)-V1.1,120,"[0, 0, 0]",未开始,2024-07-13,2024-04-14,No,-90,YG(供应链预估),"原材料不足,关键物料:12.01.01.142有货时间:2024-08-13","ID1126,ID1140,ID1187,ID1201,ID1227,ID1241"
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,30,"[30, 30, 30]",2024-05-23 00:00:00,2024-05-25,2024-04-14,No,-41,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID1122,ID1183,ID1223"
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,"[100, 100, 100]",2023-11-04 00:00:00,2023-11-04,2024-04-21,Yes,169,YG(供应链预估),无,"ID1180,ID1220"
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-05-25 00:00:00,2024-06-01,2024-04-28,No,-34,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID1230,ID1244"
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,20,"[20, 20, 20]",2024-04-01 00:00:00,2024-04-04,2024-04-21,Yes,17,YG(供应链预估),无,"ID1193,ID1233"
179,ID1243,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-05-27 00:00:00,2024-05-29,2024-04-28,No,-31,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID1229,ID1243"
180,ID1240,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-05-28 00:00:00,2024-05-29,2024-04-28,No,-31,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-03-21","ID1214,ID1240"
181,ID1161,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-05-28 00:00:00,2024-05-30,2024-04-29,No,-31,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID1161,ID1188,ID1202,ID1228,ID1242"
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-05-29 00:00:00,2024-05-31,2024-04-28,No,-33,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28",ID1221
183,ID1148,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,"[0, 0, 0]",未开始,2024-07-13,2024-04-29,No,-75,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID1148,ID1170,ID1198,ID1210,ID1238"
184,ID1218,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-24,2024-04-28,Yes,156,YG(供应链预估),无,ID1218
185,ID1159,13.01.06.004,S2R继电器板,200,"[200, 200, 200]",2023-11-30 00:00:00,2023-12-02,2024-04-29,Yes,149,YG(供应链预估),无,"ID1159,ID1166,ID1167,ID1206,ID1207"
186,ID1245,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-11-23 00:00:00,2023-11-24,2024-04-28,Yes,156,YG(供应链预估),无,"ID1232,ID1245"
