生产ID,任务来源ID,物料编码,物料名称,需补货数量,预计开始时间,需入库时间,优先级,所包含销售订单
167,ID1064,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2024-03-27,2024-03-28,YG(供应链预估),"ID1051,ID1064,ID1091,ID1104,ID1131,ID1144,ID1192,ID1205"
168,ID1096,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2024-04-01,2024-04-07,YG(供应链预估),"ID1068,ID1096,ID1108,ID1136,ID1146,ID1169,ID1197,ID1209,ID1237"
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,2024-04-05,2024-04-07,YG(供应链预估),"ID1076,ID1116,ID1177,ID1217"
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-04-05,2024-04-14,YG(供应链预估),"ID1129,ID1143,ID1163,ID1190,ID1204"
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-04-09,2024-04-14,YG(供应链预估),"ID1113,ID1139,ID1151,ID1174,ID1200"
172,ID1135,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,2024-04-10,2024-04-14,YG(供应链预估),"ID1107,ID1135,ID1147,ID1168,ID1196,ID1208,ID1236"
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-04-10,2024-04-14,YG(供应链预估),"ID1120,ID1154,ID1181"
174,ID1140,13.01.05.018,TF03-485(整箱包装)-V1.1,120,2024-04-10,2024-04-14,YG(供应链预估),"ID1126,ID1140,ID1187,ID1201,ID1227,ID1241"
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,30,2024-04-12,2024-04-14,YG(供应链预估),"ID1122,ID1183,ID1223"
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,2024-04-19,2024-04-21,YG(供应链预估),"ID1180,ID1220"
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-04-19,2024-04-28,YG(供应链预估),"ID1230,ID1244"
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,20,2024-04-19,2024-04-21,YG(供应链预估),"ID1193,ID1233"
179,ID1243,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2024-04-22,2024-04-28,YG(供应链预估),"ID1229,ID1243"
180,ID1240,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-04-23,2024-04-28,YG(供应链预估),"ID1214,ID1240"
181,ID1161,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-04-23,2024-04-29,YG(供应链预估),"ID1161,ID1188,ID1202,ID1228,ID1242"
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-04-24,2024-04-28,YG(供应链预估),ID1221
183,ID1148,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,2024-04-26,2024-04-29,YG(供应链预估),"ID1148,ID1170,ID1198,ID1210,ID1238"
184,ID1218,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,2024-04-26,2024-04-28,YG(供应链预估),ID1218
185,ID1159,13.01.06.004,S2R继电器板,200,2024-04-26,2024-04-29,YG(供应链预估),"ID1159,ID1166,ID1167,ID1206,ID1207"
186,ID1245,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2024-04-26,2024-04-28,YG(供应链预估),"ID1232,ID1245"
